Model Name,Model Description,,,,,,,,Model Sources [optional],,,,Comments
,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],,Repository,Paper [optional],Demo [optional],Label Information,
ProsusAI/finbert,FIA,PIA,FIA,FIA,FIA,PIA,FIA,,PIA,FIA,FIA,FIA,"Instead of repo, blog post has been shared, License link given in blog post"
yiyanghkust/finbert-tone,PIA,PIA,PIA,FIA,FIA,PIA,FIA,,FIA,PIA,FIA,FIA,"Developer information given in citation and github repo, License given in repo"
cardiffnlp/twitter-roberta-base-sentiment-latest,PIA,PIA,PIA,FIA,FIA,PIA,FIA,,FIA,FIA,FIA,FIA,PIA given in paper/repo
cardiffnlp/twitter-xlm-roberta-base-sentiment,PIA,PIA,PIA,FIA,FIA,PIA,FIA,,FIA,FIA,FIA,FIA,"License in github repo, developer name not specifically mentioned"
cardiffnlp/twitter-roberta-base-sentiment,PIA,PIA,PIA,FIA,FIA,PIA,FIA,,FIA,FIA,FIA,FIA,"License in github repo, developer name not specifically mentioned"
blanchefort/rubert-base-cased-sentiment,PIA,NIA,NIA,FIA,FIA,NIA,FIA,,NIA,NIA,FIA,FIA,developer info given only in model name
finiteautomata/beto-sentiment-analysis,PIA,PIA,PIA,FIA,FIA,FIA,FIA,,FIA,FIA,FIA,FIA,Developer info given only on search text (finiteautomata/beto-sentiment-analysis)
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,PIA,NIA,NIA,FIA,FIA,FIA,FIA,,NIA,NIA,FIA,FIA,Developer info given only on search text (mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis)
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,PIA,NIA,NIA,FIA,FIA,PIA,FIA,,FIA,NIA,FIA,FIA,
ahmedrachid/FinancialBERT-Sentiment-Analysis,FIA,NIA,NIA,FIA,FIA,NIA,FIA,,NIA,FIA,FIA,FIA,
koheiduck/bert-japanese-finetuned-sentiment,PIA,NIA,NIA,NIA,FIA,NIA,NIA,,NIA,NIA,FIA,FIA,
finiteautomata/bertweet-base-sentiment-analysis,PIA,PIA,PIA,FIA,FIA,FIA,FIA,,FIA,FIA,FIA,FIA,assuming funder and sharer to be universities/companies of authors in paper
oliverguhr/german-sentiment-bert,PIA,PIA,PIA,FIA,FIA,FIA,FIA,,FIA,FIA,FIA,FIA,assuming funder and sharer to be universities/companies of authors in paper
christian-phu/bert-finetuned-japanese-sentiment,PIA,NIA,NIA,FIA,FIA,FIA,FIA,,NIA,NIA,FIA,FIA,developer name in model name
blanchefort/rubert-base-cased-sentiment-rusentiment,PIA,NIA,NIA,FIA,FIA,NIA,FIA,,NIA,NIA,FIA,FIA,developer name in model name
climatebert/distilroberta-base-climate-sentiment,PIA,NIA,NIA,FIA,FIA,FIA,FIA,,NIA,NIA,FIA,FIA,developer name in model name
Seethal/sentiment_analysis_generic_dataset,PIA,NIA,NIA,FIA,FIA,NIA,FIA,,NIA,NIA,FIA,NIA,No Label information
sbcBI/sentiment_analysis_model,PIA,PIA,PIA,FIA,FIA,FIA,FIA,,FIA,FIA,FIA,NIA,"No Label information,assuming funder and sharer to be universities/companies of authors in paper"
lxyuan/distilbert-base-multilingual-cased-sentiments-student,PIA,NIA,NIA,FIA,FIA,FIA,FIA,,FIA,NIA,FIA,FIA,developer name in model name
snunlp/KR-FinBert-SC,PIA,NIA,NIA,FIA,FIA,NIA,FIA,,NIA,NIA,FIA,FIA,developer name in model name
soleimanian/financial-roberta-large-sentiment,PIA,NIA,NIA,FIA,FIA,FIA,FIA,,NIA,NIA,FIA,FIA,developer name in model name
