Model Name,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model,Comments
ProsusAI/finbert,FIA,PIA,PIA,PIA,PIA,FIA,all PIA given in paper/blog
yiyanghkust/finbert-tone,FIA,PIA,NIA,NIA,PIA,FIA,Recommendations for weights given in repo
cardiffnlp/twitter-roberta-base-sentiment-latest,FIA,PIA,PIA,PIA,PIA,FIA,limitations and recommendations in paper
cardiffnlp/twitter-xlm-roberta-base-sentiment,FIA,PIA,NIA,NIA,NIA,FIA,"Downstream use given in paper/repo but no out of scope use and bias,risks,limitations mentioned"
cardiffnlp/twitter-roberta-base-sentiment,FIA,PIA,NIA,NIA,NIA,FIA,"Downstream use given in paper/repo but no out of scope use and bias,risks,limitations mentioned"
blanchefort/rubert-base-cased-sentiment,FIA,NIA,NIA,NIA,NIA,FIA,Only use mentioned is short russian text classification
finiteautomata/beto-sentiment-analysis,FIA,NIA,NIA,NIA,NIA,FIA,Only use mentioned is sentiment analysis in spanish
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,FIA,NIA,NIA,NIA,NIA,FIA,Only use is financial sentiment analysis
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,FIA,PIA,NIA,PIA,PIA,FIA,Downstream use given in repo
ahmedrachid/FinancialBERT-Sentiment-Analysis,FIA,PIA,NIA,NIA,NIA,FIA,"use only mentioned in model name, PIA in paper"
koheiduck/bert-japanese-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA,FIA,
finiteautomata/bertweet-base-sentiment-analysis,FIA,PIA,NIA,PIA,PIA,FIA,"Recommendations given in repo, biases given in paper, downstream in paper"
oliverguhr/german-sentiment-bert,FIA,PIA,NIA,PIA,PIA,FIA,"Only use mentioned is german text classification, bias,recommendations given in paper"
christian-phu/bert-finetuned-japanese-sentiment,FIA,NIA,NIA,NIA,NIA,FIA,only direct use given
blanchefort/rubert-base-cased-sentiment-rusentiment,FIA,NIA,NIA,NIA,NIA,FIA,
climatebert/distilroberta-base-climate-sentiment,FIA,NIA,NIA,FIA,FIA,FIA,
Seethal/sentiment_analysis_generic_dataset,FIA,FIA,FIA,NIA,NIA,FIA,
sbcBI/sentiment_analysis_model,FIA,FIA,FIA,PIA,PIA,FIA,PIA given in repo and paper
lxyuan/distilbert-base-multilingual-cased-sentiments-student,FIA,PIA,NIA,FIA,FIA,FIA,uses given in repo
snunlp/KR-FinBert-SC,FIA,FIA,NIA,NIA,NIA,FIA,
soleimanian/financial-roberta-large-sentiment,FIA,NIA,NIA,NIA,NIA,FIA,
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,FIA,NIA,NIA,NIA,NIA,FIA,
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,FIA,NIA,NIA,NIA,NIA,FIA,"Only how to use in transformers is there, and problem type is multi class classification"
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,FIA,PIA,NIA,NIA,NIA,FIA,downstream in repo/paper
RecordedFuture/Swedish-Sentiment-Fear,FIA,FIA,FIA,PIA,PIA,FIA,Limitations of model input and recommendations for input are provided in the model card
knkarthick/Sentiment-Analysis,NIA,NIA,NIA,NIA,NIA,FIA,"Based on model name, we only know that it is sentiment analysis"
cardiffnlp/camembert-base-tweet-sentiment-fr,FIA,NIA,NIA,NIA,NIA,FIA,only direct use given
samayash/finetuning-financial-news-sentiment,FIA,NIA,NIA,NIA,NIA,FIA,"In model card it has written that there is no downstream use and hence information available, and no out of scope use also"
sbcBI/sentiment_analysis,FIA,FIA,FIA,PIA,PIA,FIA,limitations on how the model can be used and its recommendations are given in the github repo
yangheng/deberta-v3-base-absa-v1.1,FIA,PIA,NIA,NIA,NIA,FIA,"Downstream use and examples given in repo, no info about bias, risks, limitations and out of scope use"
hakonmh/sentiment-xdistil-uncased,FIA,NIA,NIA,NIA,NIA,FIA,"No downstream use, or bias risks, limitations and recommendations for it"
avichr/heBERT_sentiment_analysis,FIA,FIA,NIA,NIA,NIA,FIA,"no bias, risks, limitations and recommendations for it given in model card"
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,NIA,NIA,NIA,NIA,NIA,FIA,No model card
Sigma/financial-sentiment-analysis,PIA,NIA,NIA,NIA,NIA,FIA,Direct use is only in model name
w11wo/indonesian-roberta-base-sentiment-classifier,FIA,FIA,NIA,NIA,NIA,FIA,"Bias,risks,limitations not given in model card or paper"
j-hartmann/sentiment-roberta-large-english-3-classes,FIA,NIA,NIA,NIA,NIA,FIA,"Bias,risks,limitations not given in model card or paper"
