,Organisation,Count
0,cardiffnlp,25
1,bardsai,7
2,francisco-perez-sorrosal,6
3,sasha,6
4,yanezh,5
5,DunnBC22,5
6,sismetanin,5
7,RogerKam,4
8,intanm,4
9,hazrulakmal,3
10,rohanrajpal,3
11,venetis,3
12,eevvgg,3
13,philschmid,3
14,Venkatesh4342,3
15,DingYao,3
16,BramVanroy,2
17,m3hrdadfi,2
18,seara,2
19,RecordedFuture,2
20,finiteautomata,2
21,Souvikcmsa,2
22,devtanumisra,1
23,classla,1
24,ultraleow,1
25,bvint,1
26,arjuntheprogrammer,1
27,FinScience,1
28,warwickai,1
29,zainalq7,1
30,sairahul5223,1
31,tyqiangz,1
32,kartashoffv,1
33,RogerB,1
34,ProsusAI,1
35,raoh,1
36,bekbote,1
37,Pendo,1
38,dshin,1
39,memotirre90,1
40,sakasa007,1
41,lucaordronneau,1
42,Psunrise,1
43,nlp-chula,1
44,Ausbel,1
45,hw2942,1
46,l3cube-pune,1
47,aXhyra,1
48,debashish68,1
49,midwinter73,1
50,israel,1
51,chrommium,1
52,niksmer,1
53,salohnana2018,1
54,AlonCohen,1
55,BeChi87,1
56,incredible45,1
57,gabrielkytz,1
58,evendivil,1
59,Timothy1337,1
60,bright1,1
61,HerbertAIHug,1
62,FinanceInc,1
63,Jorgeutd,1
64,Voicelab,1
65,IAyoub,1
66,emre,1
67,Jean-Baptiste,1
68,abhishek,1
69,lucas-leme,1
70,citizenlab,1
71,fergusq,1
72,w11wo,1
73,Sigma,1
74,avichr,1
75,hakonmh,1
76,samayash,1
77,amansolanki,1
78,christian-phu,1
79,ahmedrachid,1
80,HooshvareLab,1
81,poerwiyanto,1
82,hanifnoerr,1
83,IsaacSarps,1
84,nickwong64,1
85,LYTinn,1
86,UholoDala,1
87,jayantapaul888,1
88,mtyrrell,1
89,LondonStory,1
90,Beanz1935,1
91,SiddharthaM,1
92,xyu1163,1
93,gr8testgad-1,1
94,ramnika003,1
95,pin,1
96,akoksal,1
97,arize-ai,1
98,gsl22,1
99,QuophyDzifa,1
100,clips,1
101,kinit,1
102,sahri,1
103,madmancity,1
